id,station_name,stream_url,description,logo,genres,language,website,facebook,twitter,wikipedia,contact_address,contact_phone,contact_email,contact_additional,country_code
15,"Radio Bordj Bou Arreridj - برج بوعريريج",http://bba.ice.infomaniak.ch/34.aac,"Radio Bordj Bou Arreridj est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/2/43702.v5.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/radio.bordj,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: المقر السابق للولاية شارع مباركية  إسماعيل برج بوعريريج","Phone: 035 68 77 22",,,dz
16,"Radio Mostaganem - مستغانم",http://mostaganem.ice.infomaniak.ch/27.aac,"Radio Mostaganem est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/6/43696.v3.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/Radio-mostaganem-page-officel-161000870621996,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: ص.ب 1014 مستغانم / – حي االمطمر – مستغانم","Phone: 045410789","Email: contact@radiomostaganem.net",,dz
17,"Radio Mascara - معسكر",http://mascara.ice.infomaniak.ch/29.aac?type,"Radio Mascara est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/7/43697.v3.png,news,French,http://www.radioalgerie.dz/,,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,,,,,dz
18,"Radio Relizane",http://relizane.ice.infomaniak.ch/48.aac,"Radio Relizane 90.8 FM is a broadcast radio station from Algiers, Algeria providing News, Information and Talk programs and music.",https://cdn.onlineradiobox.com/img/logo/2/20392.v1.png,"news,talk",Arabic,http://ww2.radiorelizane.net/,,,,,,,,dz
19,"Radio Mila",http://mila.ice.infomaniak.ch/43.aac,"Profil
Une station de radio locale à base de Alegréia . Dédié à fournir des nouvelles et des informations à tous les auditeurs.",https://cdn.onlineradiobox.com/img/logo/9/20499.v1.png,folk,Arabic,http://static.infomaniak.ch/infomaniak/radio/html/mila_player.html,https://www.facebook.com/Radio.mila/,,,,"Phone: 002135558882",,,dz
20,"Radio Batna",http://batna.ice.infomaniak.ch/05.aac,"Il opère à travers Internet , en jouant 24 heures et 7 jours par semaine sur la base de Algérie. Accordez Radio Batn !",https://cdn.onlineradiobox.com/img/logo/2/20502.v9.png,"news,talk",Arabic,http://www.radio-batna.dz/,https://www.facebook.com/radio-batna-155887624502138/,https://twitter.com/radiobatna1,,"Address: 12 شارع الاستقلال باتنة  Batna","Phone: +213 33 80 52 46","Email:  radiobatna05@gmail.com",,dz
21,"Radio Tassili - FM 88",http://onair11.xdevel.com:8252/;stream.nsv,"Radio Tassili 88.0 is a Algerian radio station broadcasting from Illizi, Regionale du Sud- Est, Station Airs Public Radio, Arabic Talk, News programs.",https://cdn.onlineradiobox.com/img/logo/9/20479.png,"news,talk,arabic",Arabic,,,,,,,,,dz
22,"Radio Saida",http://saida.ice.infomaniak.ch/20.aac,"أهلا بكم في الصفحة الرسمية لإذاعة سعيدة الجهوية
إعلام جواري في خدمة المواطن",https://cdn.onlineradiobox.com/img/logo/9/20399.v2.png,islamic,Arabic,http://www.saidafm.com/,https://www.facebook.com/Radio-Saida-Locale-945-Fm-482086455204310/,,,,,"Email: radiosaida@gmail.com",,dz
23,"Radio Constantine - قسنطينة",http://constantine.ice.infomaniak.ch/25.aac,"Radio Constantine - قسنطينة est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/4/43694.v3.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/Radio-Constantine-CIRTA-FM-204165652958630/,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address:  Cité sissaoui villa N47","Phone: +213 770 56 50 61","Email: zeghilechea@gmail.com",,dz
24,"Radio Sidi Bel Abbes - سيدي بلعباس",http://sidibelabbes.ice.infomaniak.ch/22.aac,"Radio Sidi Bel Abbes est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/1/43691.v3.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/radio.sidi.Belabbes,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,,"Phone:  +213 48 76 15 15","Email: radiosbainfo@gmail.com",,dz
25,"KSUN66 Classic Hits",http://37.187.77.45:9072/;stream.nsv,"Playing what we want!",https://cdn.onlineradiobox.com/img/logo/6/10946.v5.png,"rock,blues,folk,hits",English,https://www.ksun66.com/classics,https://www.facebook.com/groups/ksun66/,https://twitter.com/ksun66,,,,,,dz
26,"Radio El Bayadh - البيض",http://bayadh.ice.infomaniak.ch/32.aac,"Radio El Bayadh est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/1/43701.v4.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/radioadraralgeria,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: 32) El Bayadh / البيض , 32000","Phone: 049 71 61 67",,,dz
27,"Radio Ain Temouchent - عين تموشنت",http://aintemouchent.ice.infomaniak.ch/46.aac,"Radio Ain Temushent est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/5/43715.v4.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/Radio-Ain-Témouchent-517755484925729/,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: 281 عين تيموشنت – الجزائر","Phone: 99 99 60 043 / 66 99 60 043",,,dz
28,"Essential Station Radio",http://78.129.251.122:8012/live,"Essential Station Radio, Algiers. Ouça ao vivo além da programação da estação, canção da lista de reprodução, localização e informação de contato on-line.",https://cdn.onlineradiobox.com/img/logo/6/20476.png,"pop,arabic",Arabic,,,,,,,,,dz
29,"Tous Sur Tous",http://server-26.stream-server.nl:8692/;stream.nsv,"Tous Sur Tous Is an Internet Based radio website from Algiers that plays Classic Rock genre of music.",https://cdn.onlineradiobox.com/img/logo/4/20474.png,rock,Arabic,,,,,,,,,dz
30,"Radio Naama FM",http://naama.ice.infomaniak.ch/45.aac,"La Radio Naâma est une radio régionale de la wilaya de Naâma qui s’intéresse de près à l’actualité nationale et internationale, son but est de fonder un nouveau virage pour satisfaire ses auditeurs.",https://cdn.onlineradiobox.com/img/logo/3/20483.v1.png,"news,talk,folk",Arabic,http://www.radioalgerie.dz/live/naama.html,https://www.facebook.com/RADIO-NAAMA-197526433662768/,,,,,,,dz
31,"Radio Khenchela - خنشلة",http://khenchla.ice.infomaniak.ch/40.aac,"Radio Khenchela est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/9/43709.v7.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/Radio-Khenchela-FM-320029758076523,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,,,,,dz
32,"Radio Algeria Koran/Culture",http://radiocoran-culture.ice.infomaniak.ch/coran.aac,"Radio coran-culture est une station de radio en ligne algérienne consacrée au coran et plus généralement à la culture religieuse. Elle est diffusée en langue arabe depuis la capitale, Alger.",https://cdn.onlineradiobox.com/img/logo/4/72644.v3.png,"islamic,culture",Arabic,http://www.radioalgerie.dz/,https://www.facebook.com/radiocoran.dz,,,"Address: 21, Bd des martyrs, Algiers, Algeria","Phone: 0021321692332","Email: redactioncoran@gmail.com",,dz
33,"Radio Ajyal",http://philae.shoutca.st:8281/stream,"Une Station De radio Qui diffuse des émissions pour améliorer la vie des jeunes
	Show more",https://cdn.onlineradiobox.com/img/logo/9/43929.v1.png,"news,top40",French,http://radioajyal.net/,https://www.facebook.com/radioajyal,https://twitter.com/ajyalradio,,,"Phone: +213 770 34 55 61","Email: contact@radioajyal.net",,dz
34,"Radio Ouargla - ورقلة",http://ouargla.ice.infomaniak.ch/30.aac,"Radio Ouargla est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/8/43698.v3.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/warqla,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: Route de Rouissat, BP 83, (30) Ouargla / ورقلة , 30000","Phone: 029 76 09 15",,,dz
35,"Radio El Tarf",http://eltarf.ice.infomaniak.ch/36.aac?type,"Radio El Tarf est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/4/43704.v4.png,news,French,http://www.radioalgerie.dz/,,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,,"Phone: 038 60 00 11 / 038 60 00 16 / 038 60 28 01",,,dz
36,"Radio Tindouf - تندوف",http://ch1.ice.infomaniak.ch/ch1-64.aac?type=.mp3,"Radio Tindouf est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/5/43705.v4.png,news,French,http://www.radioalgerie.dz/,,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: ص ب 213 وكالة النصر تندوف","Phone: 63 34 92/049",,,dz
37,"Radio M&#39;sila",http://msila.ice.infomaniak.ch/28.aac,"مسيلة ، هي بلدية جزائرية لولاية المسيلة ، وهي المدينة الرئيسية. معروف في العصور الوسطى خلال العصر الفاطمي باسم محمدية.",https://cdn.onlineradiobox.com/img/logo/8/72678.v1.png,"news,talk",Arabic,http://www.radioalgerie.dz/,,,,"Address: BP 1400 POSTE CENTRALE  M&#39;sila, M&#39;Sila (28), Algérie","Phone: 035 547414",,,dz
38,"AL Funk Webradio",http://streaming.radionomy.com/ALFUNKWEBRADIO,"Bienvenue à toutes et tous sur AL FUNK WEB RADIO, Vous êtes en compagnie de vos animateurs Dj Karim Kimou et Dj Momoz, Dj Marco et pour des sessions de mix, medley et mashup en tout genre. Au programme différents courant musicaux: FUNK,BOOGIE, DISCO, POP, RNB, HOUSE, SOULFUL, DEEPHOUSE etc",https://cdn.onlineradiobox.com/img/logo/7/43927.png,"house,r&#39,n&#39,b,pop",French,http://alfunkradio.wixsite.com/stream,https://www.facebook.com/alfunkwebradio,,,,,,,dz
39,"Skyrock Alger",https://icecast.skyrock.net/s/alger_aac_64k,"Retrouve tous les sons qui cartonnent en Algérie sur Skyrock Alger !",https://cdn.onlineradiobox.com/img/logo/1/73951.v1.png,"r&#39,n&#39,b,hip-hop,arabic",Arabic,https://skyrock.fm/,https://www.facebook.com/skyrockalger/,https://twitter.com/skyrock_alger,,,,"Email: contact@skyrock.com",https://www.instagram.com/skyrock_alger/,dz
40,"Radio Tipaza - تيبازة",http://tipaza.ice.infomaniak.ch/42.aac,"Radio Tipaza est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/1/43711.v4.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/tipazafm,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,,,,,dz
41,"Radio Ghardaia - غرداية",http://ghardaia.ice.infomaniak.ch/47.aac,"Radio Ghardaia est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/6/43716.v4.png,news,French,http://www.radioalgerie.dz/,,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: ص ب 17 مقر الولاية","Phone: 53 52 88 029",,,dz
42,"Radio Skikda",http://skikda.ice.infomaniak.ch/21.aac,"Radio Skikda est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.",https://cdn.onlineradiobox.com/img/logo/7/72677.v2.png,"news,talk",Arabic,http://www.radio-skikda.dz/,https://www.facebook.com/radio.skikda.fans,,,"Address: إذاعة سكيكدة الجهوية ص ب 55 باب الاوراس - سكيكدة","Phone: 0038 75 77 52 / 038 75 77 54",,,dz
43,"Radio Boumerdes - بومرداس",http://boumerdes.ice.infomaniak.ch/35.aac?type,"Radio Boumerdes est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/3/43703.v5.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/Boumerdes-327111695149,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,,,,,dz
44,"Radio Illizi",http://illizi.ice.infomaniak.ch/33.aac,"إذاعة محلية تابعة للمؤسسة العمومية للإذاعة المسموعة تحت وصاية وزارة الاتصال الجزائرية، ناطقة بالعربية و الترقية تبث برامجها من إليزي.",https://cdn.onlineradiobox.com/img/logo/3/72683.v1.png,"news,arabic",Arabic,http://www.radioalgerie.dz/,https://www.facebook.com/radioillizi.dz/,,,"Address:  طريق المطار إيليزي / ص ب 230","Phone: 029 42 10 39","Email: radioillizi33@gmail.com",,dz
45,"Radio El Oued - الوادي",http://eloued.ice.infomaniak.ch/39.aac,"Radio El Oued est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.
La station Radio Sidi Bel Abbes est composé d’un groupe jeune, sérieux, dynamique et expérimenté.",https://cdn.onlineradiobox.com/img/logo/8/43708.v5.png,news,French,http://www.radioalgerie.dz/,https://www.facebook.com/WM783,https://twitter.com/radioalgerie,https://ar.wikipedia.org/wiki/الإذاعة_الجزائرية,"Address: حي الرمال الوادي / ص ب 172","Phone: 68-08-24 /032 64-04-24 /032  69 -09-24 /032",,,dz
46,"Radio Jijel",http://jijel.ice.infomaniak.ch/18.aac,"Radio Jijel 89.9 FM is a broadcast radio station from Jijel, Algeria providing Entertainment, News and Culture programs and music.",https://cdn.onlineradiobox.com/img/logo/5/72645.v3.png,"news,talk",Arabic,http://www.radio-jijel.dz/,https://www.facebook.com/radio-jijel-228682750497653/,https://twitter.com/radiojijel,,,"Phone: 21334496965","Email: info@radio-jijel.dz",,dz
47,"Radio Locale Oum El-Bouaghi",http://oeb.ice.infomaniak.ch/04.aac,"Radio Oum El Bouaghi est une station généraliste d&#39;expression qui fait partie de la Radio algérienne. 
Elle propose une programmation varié de services et de l&#39;information.",https://cdn.onlineradiobox.com/img/logo/7/72657.v1.png,"news,culture,politics",Arabic,http://www.radioalgerie.dz/,,,,,,,,dz
48,"The Face Radio",http://114.31.201.3:8000/;stream.nsv,"The Face Radio is an internet radio station from Algiers, Algeria providing Electronic-Dance, Rock, Reggeaton and Hip Hop music on the Radionomy internet radio stations ... See more network.",https://cdn.onlineradiobox.com/img/logo/5/20475.png,"dance,rock,talk",Arabic,,,,,,,,,dz
49,"Radio Guelma",http://guelma.ice.infomaniak.ch/24.aac,"نحن شباب ولاية قالمة لا يجمعنا سوى حب هذه الولاية التي نقيم فيها، أحزننا ما آلت إليه سياسيا واجتماعيا واقتصاديا، ضاقت بنا الأفق ولم نجد من وسيلة نعبر بها عن آرائنا وتخرجنا من دائرة التهميش والإقصاء الإعلامي، سوى فضاء الانترنيت، إننا نصبو إلى رفع مستوى الوعي الاجتماعي لدى الشباب وخلق فضاء للحوار وتبادل الآراء، والرقي بأذواقهم واهتماماتهم وإخراجهم من الإدمان على أخبار الرياضة وبراثن غرف الدردشة والامور لا اخلاقية إلى هموم هذه المنطقة، وأن عليهم واجبات ولهم حقوق، ندعوهم إلى المشاركة الإيجابية، فهذا أسمى أساليب التغيير والإصلاح.",https://cdn.onlineradiobox.com/img/logo/3/20503.v2.png,"news,arabic",Arabic,http://www.radio-guelma.dz/,https://www.facebook.com/radio.guelma.fm/,,,"Address:  نهج بومعزة السعيد طريق بلخير فالمة قالمة 24000","Phone: 037143232",,,dz
50,"Radio Kuia Bue",http://hts03.kshost.com.br:9126/;stream.nsv,"Descrição longa se necessaria : Radio Kuia Bue FM é uma radio Internacional, 
com Clássicos &amp; Novidades das melhores musicas 24/24, assim como noticias do mundo inteiro.",https://cdn.onlineradiobox.com/img/logo/1/47681.v6.png,"african,rumba,hits",Portuguese,http://radiokuiabue.com/,https://www.facebook.com/RadioKuia,https://twitter.com/RadiokuiabueFM,,,"Telefone: 0033672777558","Email: Radiokuiabue@gmail.com",https://instagram.com/radiokuiabue_official,ao
51,"Radio Despertar",http://5.9.17.103:9326/;,"Rádio Angolana dedicada à informação com sede em Luanda.",https://cdn.onlineradiobox.com/img/logo/5/31895.v4.png,"news,talk,sports,entertainment",Portuguese,http://radiodespertarangola.net/,https://www.facebook.com/RADIO-DESPERTAR-ANGOLA-142384799243110/,,,,,,,ao
52,"Radio Muzangala",http://109.169.26.216:8014/;,"Radio Muzangala is an Internet Radio station broadcasting from Angola, provides African dance, Hits, Pop, Hits, Oldies and Rnb Music.",https://cdn.onlineradiobox.com/img/logo/2/31702.v1.png,"r&#39,n&#39,b,pop,oldies,african,hits",Portuguese,http://www.radiomuzangala.com/,https://www.facebook.com/Radio.Muzangala/,http://twitter.com/radiomuzangala,,,"Telefone: +244 943 570 710","Email: radio@muzangala.com",,ao
53,"Luanda Antena Comercial",https://stream.zenolive.com/cg3yk1gr7a5tv,"LAC - Luanda Antena Comercial is a broadcast radio station from Luanda, Angola providing Portuguese and World music and information.",https://cdn.onlineradiobox.com/img/logo/7/31687.v3.png,"pop,news,talk",Portuguese,http://www.lacluanda.co.ao/,https://www.facebook.com/luanda.antena.comercial,https://twitter.com/lacluanda,,"Endereço: LAC - Luanda Antena Comercial, Plazza Luther King No. 5, Luanda.","Telefone:  +244 222 394989","Email: lac@lacluanda.com",,ao
54,"Ngola Radio",http://ample-zeno-09.radiojar.com/4xa2ects7a5tv,"Listen Rádio Ngola Radio 87.7 FM de Angola Live Online, Ngola Radio is transmitting a top pick, dynamic and prominent voice of Angola and Africans. FM Ngoal gives quality media benefits by giving educational, educative and exciting projects that help manufacture just and prosperous Angola where all residents advantage from such advancements. FM Ngola is likewise taking a shot at building a world class designing backing for national television gear. It is advance and bolster National Economic, Political and Social arrangements to accomplish National Consensus on sacred qualities and the part of formative state.",https://cdn.onlineradiobox.com/img/logo/7/31707.v2.png,"pop,folk,adult contemporary",Portuguese,,,,,,,"Email: ngolaradio1@hotmail.com",,ao
